,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
1000,3.3841,29.0,4.842031029619182,1.002820874471086,1919.0,2.706629055007052,37.69,-121.76,1.844
1001,3.5532,36.0,4.53494623655914,1.0,950.0,2.553763440860215,37.68,-121.77,1.584
1002,3.3618,34.0,5.114967462039045,1.0802603036876355,1157.0,2.509761388286334,37.69,-121.78,1.746
1003,4.3533,35.0,4.9877622377622375,1.027972027972028,1761.0,3.0786713286713288,37.69,-121.78,1.684
1004,4.5357,25.0,6.013371537726838,1.0334288443170965,3200.0,3.0563514804202483,37.69,-121.79,1.884
1005,5.7068,9.0,5.861561119293078,1.0839469808541973,1705.0,2.5110456553755522,37.7,-121.76,2.567
1006,3.7212,26.0,5.07088122605364,1.0268199233716475,1422.0,2.7241379310344827,37.69,-121.75,1.838
1007,5.2443,35.0,6.673003802281369,1.1368821292775666,702.0,2.6692015209125475,37.68,-121.75,1.834
1008,4.2361,35.0,5.340974212034384,1.0229226361031518,1189.0,3.4068767908309456,37.68,-121.76,1.775
1009,3.1856,32.0,5.472081218274112,1.0507614213197969,555.0,2.817258883248731,37.68,-121.76,1.869
1010,5.4496,17.0,6.1809899787427875,1.0607348921955664,8768.0,2.662617673853629,37.68,-121.73,2.389
1011,3.0222,17.0,4.576470588235294,1.2823529411764707,1392.0,2.0470588235294116,37.68,-121.78,1.725
1012,2.6667,44.0,4.541284403669724,1.0275229357798166,277.0,2.541284403669725,37.68,-121.77,1.792
1013,3.7301,52.0,5.147971360381861,0.9976133651551312,929.0,2.217183770883055,37.68,-121.76,2.044
1014,4.6806,41.0,5.211805555555555,1.0381944444444444,629.0,2.1840277777777777,37.68,-121.77,2.094
1015,5.7907,20.0,6.408260524225576,0.9666401906274821,3489.0,2.7712470214455918,37.67,-121.77,2.642
1016,6.3705,6.0,6.4594017094017095,1.106837606837607,1225.0,2.6175213675213675,37.67,-121.76,3.5
1017,5.2649,26.0,6.88785046728972,1.071651090342679,1024.0,3.190031152647975,37.67,-121.78,1.998
1018,6.0797,26.0,6.2514450867052025,0.9797687861271677,947.0,2.7369942196531793,37.67,-121.79,2.11
1019,4.8571,28.0,6.591078066914498,1.033457249070632,804.0,2.9888475836431225,37.67,-121.78,2.011
1020,3.8523,25.0,5.5,1.1807909604519775,900.0,2.542372881355932,37.66,-121.78,1.93
1021,5.98,22.0,6.586469534050179,0.9901433691756273,6693.0,2.9986559139784945,37.66,-121.79,2.45
1022,2.45,17.0,8.973684210526315,1.855263157894737,338.0,2.223684210526316,38.69,-119.78,1.176
1023,2.2417,15.0,10.51530612244898,2.372448979591837,573.0,2.923469387755102,38.72,-119.93,0.979
1024,3.15,16.0,29.852941176470587,5.323529411764706,202.0,1.9803921568627452,38.52,-120.0,1.406
1025,3.4609,14.0,8.62530413625304,1.7080291970802919,946.0,2.3017031630170317,38.48,-120.56,1.209
1026,3.0,13.0,6.317596566523605,1.1974248927038627,1091.0,2.3412017167381975,38.45,-120.59,1.19
1027,3.2031,16.0,7.972375690607735,1.3756906077348066,435.0,2.403314917127072,38.46,-120.55,1.292
1028,2.5208,17.0,6.396067415730337,1.3314606741573034,767.0,2.154494382022472,38.45,-120.55,0.991
1029,2.3549,18.0,5.646209386281589,1.288808664259928,618.0,2.2310469314079424,38.43,-120.55,1.089
